code,name,country_name,lat,lon,timezone
CYEK,ARVIAT,Canada,,,
CYEN,ESTEVAN REGIONAL,Canada,,,
CYER,FORT SEVERN,Canada,,,
CYET,EDSON,Canada,,,
CYEV,INUVIK (MIKE ZUBKO) NT,Canada,68.30377777777778,-133.483125,
CYFB,IQALUIT,Canada,,,
CYFC,FREDERICTON INTL,Canada,,,
CYFO,FLIN FLON,Canada,,,
CYFS,FORT SIMPSON,Canada,,,
CYFT,MAKKOVIK,Canada,,,
CYGE,GOLDEN,Canada,,,
CYGH,FORT GOOD HOPE,Canada,,,
CYGK,KINGSTON,Canada,,,
CYGL,LA GRANDE RIVIERE,Canada,,,
CYGP,GASPE (MICHEL-POULIOT),Canada,,,
CYGQ,GERALDTON (GREENSTONE REGIONAL),Canada,,,
CYGR,ILES-DE-LA-MADELEINE,Canada,,,
CYGT,IGLOOLIK,Canada,,,
CYGV,HAVRE ST-PIERRE,Canada,,,
CYGW,KUUJJUARAPIK,Canada,,,
CYGX,GILLAM,Canada,,,
CYHA,QUAQTAQ,Canada,,,
CYHD,DRYDEN REGIONAL,Canada,,,
CYHE,HOPE,Canada,,,
CYHI,ULUKHAKTOK/HOLMAN,Canada,,,
CYHK,GJOA HAVEN,Canada,,,
CYHM,HAMILTON,Canada,,,
CYHU,MONTREAL/ST-HUBERT,Canada,,,
CYHY,HAY RIVER/MERLYN CARTER AIRPORT,Canada,,,
CYHZ,HALIFAX/STANFIELD INTL,Canada,,,
CYIK,IVUJIVIK,Canada,,,
CYIN,CLINTON/BLEIBLER RANCH,Canada,,,
CYIO,POND INLET,Canada,,,
CYIV,ISLAND LAKE,Canada,,,
CYJT,STEPHENVILLE,Canada,,,
CYKA,KAMLOOPS,Canada,,,
CYKD,AKLAVIK/FREDDIE CARMICHAEL,Canada,,,
CYKF,KITCHENER/WATERLOO,Canada,,,
CYKJ,KEY LAKE,Canada,,,
CYKL,SCHEFFERVILLE,Canada,,,
CYKQ,WASKAGANISH,Canada,,,
CYKY,KINDERSLEY,Canada,,,
CYKZ,TORONTO/BUTTONVILLE MUNI,Canada,,,
CYLA,AUPALUK,Canada,,,
CYLC,KIMMIRUT,Canada,,,
CYLD,CHAPLEAU,Canada,,,
CYLJ,MEADOW LAKE,Canada,,,
CYLK,LUTSELKE,Canada,,,
CYLL,LLOYDMINSTER,Canada,,,
CYLT,ALERT,Canada,,,
CYLW,KELOWNA,Canada,,,
CYMA,MAYO,Canada,,,
CYMH,MARY'S HARBOUR,Canada,,,
CYMJ,MOOSE JAW/AIR VICE MARSHALL C.M. MCEWEN,Canada,,,
CYMM,FORT MCMURRAY,Canada,,,
CYMO,MOOSONEE,Canada,,,
CYMT,CHIBOUGAMOU/CHAPAIS,Canada,,,
CYMU,UMIUJAQ,Canada,,,
CYMX,MONTREAL INTL (MIRABEL),Canada,,,
CYNA,NATASHQUAN,Canada,,,
CYNC,WEMINDJI,Canada,,,
CYND,OTTAWA/GATINEAU,Canada,,,
CYNE,NORWAY HOUSE,Canada,,,
CYNM,MATAGAMI,Canada,,,
CYOA,EKATI,Canada,,,
CYOC,OLD CROW,Canada,,,
CYOD,COLD LAKE/GROUP CAPTAIN R.W. MCNAIR,Canada,,,
CYOJ,HIGH LEVEL,Canada,,,
CYOO,TORONTO/OSHAWA MUNI,Canada,,,
CYOW,OTTAWA/MACDONALD-CARTIER INTL,Canada,,,
CYPA,PRINCE ALBERT (GLASS FIELD),Canada,,,
CYPC,PAULATUK (NORA ALIQATCHIALUK RUBEN) NT,Canada,69.36065833333333,-124.07570833333332,
CYPD,PORT HAWKESBURY,Canada,,,
CYPE,PEACE RIVER,Canada,,,
CYPH,INUKJUAK,Canada,,,
CYPL,PICKLE LAKE,Canada,,,
CYPQ,PETERBOROUGH,Canada,,,
CYPR,PRINCE RUPERT,Canada,,,
CYPW,POWELL RIVER,Canada,,,
CYPX,PUVIRNITUQ,Canada,,,
CYPY,FORT CHIPEWYAN,Canada,,,
CYQA,MUSKOKA,Canada,,,
CYQB,QUEBEC/JEAN LESAGE INTL,Canada,,,
CYQD,THE PAS,Canada,,,
CYQF,RED DEER REGIONAL,Canada,,,
CYQG,WINDSOR,Canada,,,
CYQH,WATSON LAKE,Canada,,,
CYQI,YARMOUTH,Canada,,,
CYQK,KENORA,Canada,,,
CYQL,LETHBRIDGE,Canada,,,
CYQM,MONCTON/GREATER MONCTON INTL,Canada,,,
CYQQ,COMOX,Canada,,,
CYQR,REGINA INTL,Canada,,,
CYQT,THUNDER BAY,Canada,,,
CYQU,GRANDE PRAIRIE,Canada,,,
CYQV,YORKTON MUNI,Canada,,,
CYQW,NORTH BATTLEFORD,Canada,,,
CYQX,GANDER INTL,Canada,,,
CYQY,SYDNEY/J.A DOUGLAS MCCURDY,Canada,,,
CYQZ,QUESNEL,Canada,,,
CYRA,GAMETI/RAE LAKES,Canada,,,
CYRB,RESOLUTE BAY,Canada,,,
CYRJ,ROBERVAL,Canada,,,
CYRL,RED LAKE,Canada,,,
CYRQ,TROIS-RIVIERES,Canada,,,
CYRT,RANKIN INLET,Canada,,,
CYRV,REVELSTOKE,Canada,,,
CYSB,SUDBURY,Canada,,,
CYSC,SHERBROOKE,Canada,,,
CYSF,STONY RAPIDS,Canada,,,
CYSJ,SAINT JOHN,Canada,,,
CYSM,FORT SMITH,Canada,,,
CYSN,ST CATHARINES/NIAGARA DISTRICT,Canada,,,
CYSP,MARATHON,Canada,,,
CYSY,SACHS HARBOUR (DAVID NASOGALUAK JR. SAARYUAQ) NT,Canada,71.99365555555556,-125.24145555555556,
CYTE,CAPE DORSET,Canada,,,
CYTH,THOMPSON,Canada,,,
CYTL,BIG TROUT LAKE,Canada,,,
CYTQ,TASIUJAQ,Canada,,,
CYTR,TRENTON,Canada,,,
CYTS,TIMMINS/VICTOR M. POWER,Canada,,,
CYTZ,TORONTO/BILLY BISHOP TORONTO CITY AIRPORT,Canada,,,
CYUB,TUKTOYAKTUK/NT,Canada,,,
CYUL,MONTREAL/PIERRE ELLIOT TRUDEAU INTL,Canada,,,
CYUT,NAUJAAT,Canada,,,
CYUX,HALL BEACH,Canada,,,
CYUY,ROUYN-NORANDA,Canada,,,
CYVC,LA RONGE (BARBER FIELD),Canada,,,
CYVM,QIKIQTARJUAQ,Canada,,,
CYVO,VAL-D'OR,Canada,,,
CYVP,KUUJJUAQ,Canada,,,
CYVQ,NORMAN WELLS,Canada,,,
CYVR,VANCOUVER INTL,Canada,,,
CYVT,BUFFALO NARROWS,Canada,,,
CYVV,WIARTON,Canada,,,
CYWA,PETAWAWA,Canada,,,
CYWE,WEKWEETI,Canada,,,
CYWG,WINNIPEG/JAMES ARMSTRONG RICHARDSON INTL,Canada,,,
CYWJ,DELINE,Canada,,,
CYWK,WABUSH,Canada,,,
CYWL,WILLIAMS LAKE,Canada,,,
CYXC,CRANBROOK/CANADIAN ROCKIES INTL,Canada,,,
CYXD,EDMONTON CITY CENTRE (BLATCHFORD FIELD),Canada,,,
CYXE,SASKATOON/JOHN G. DIEFENBAKER INTL,Canada,,,
CYXH,MEDICINE HAT,Canada,,,
CYXJ,FORT ST JOHN,Canada,,,
CYXL,SIOUX LOOKOUT,Canada,,,
CYXP,PANGNIRTUNG,Canada,,,
CYXQ,BEAVER CREEK,Canada,,,
CYXR,EARLTON(TIMISKAMING REGIONAL),Canada,,,
CYXS,PRINCE GEORGE,Canada,,,
CYXT,TERRACE,Canada,,,
CYXU,LONDON,Canada,,,
CYXX,ABBOTSFORD,Canada,,,
CYXY,WHITEHORSE/ERIK NIELSEN INTL,Canada,,,
CYXZ,WAWA,Canada,,,
CYYB,NORTH BAY,Canada,,,
CYYC,CALGARY INTL,Canada,,,
CYYD,SMITHERS,Canada,,,
CYYE,FORT NELSON,Canada,,,
CYYF,PENTICTON,Canada,,,
CYYG,CHARLOTTETOWN,Canada,,,
CYYH,TALOYOAK,Canada,,,
CYYJ,VICTORIA INTL,Canada,,,
CYYL,LYNN LAKE,Canada,,,
CYYN,SWIFT CURRENT,Canada,,,
CYYQ,CHURCHILL,Canada,,,
CYYR,GOOSE BAY,Canada,,,
CYYT,ST. JOHN'S INTL,Canada,,,
CYYU,KAPUSKASING,Canada,,,
CYYY,MONT-JOLI,Canada,,,
CYYZ,TORONTO/LESTER B. PEARSON INTL,Canada,,,
CYZE,GORE BAY-MANITOULIN,Canada,,,
CYZF,YELLOWKNIFE,Canada,,,
CYZH,SLAVE LAKE,Canada,,,
CYZP,SANDSPIT,Canada,,,
CYZR,SARNIA (CHRIS HADFIELD),Canada,,,
CYZS,CORAL HARBOUR,Canada,,,
CYZT,PORT HARDY,Canada,,,
CYZU,WHITECOURT,Canada,,,
CYZV,SEPT-ILES,Canada,,,
CYZW,TESLIN,Canada,,,
CYZX,GREENWOOD,Canada,,,
CYZY,MACKENZIE,Canada,,,
CZBF,BATHURST,Canada,,,
CZFA,FARO,Canada,,,
CZFM,FORT MCPHERSON,Canada,,,
CZMD,MUSKRAT DAM,Canada,,,
CZMT,MASSET,Canada,,,
CZPC,PINCHER CREEK,Canada,,,
CZSJ,SANDY LAKE,Canada,,,
CZST,STEWART,Canada,,,
CZVL,EDMONTON/VILLENEUVE,Canada,,,
DAAD,BOUSAADA,Algeria,35.331388888888895,4.204444444444444,
DAAE,BEJAIA/SOUMMAM-ABANE RAMDANE,Algeria,36.71194444444445,5.069444444444445,
DAAG,ALGER/HOUARI BOUMEDIENE,Algeria,36.69444444444444,3.2169444444444446,
DAAJ,DJANET/TISKA,Algeria,24.293055555555558,9.451944444444443,
DAAP,ILLIZI/TAKHAMALT,Algeria,26.723611111111108,8.617777777777778,
DAAS,SETIF/8 MAI 45,Algeria,36.17861111111111,5.33,
DAAT,TAMANRASSET/AGUENAR-HADJ BEY AKHAMOK,Algeria,22.811111111111114,5.450833333333334,
DAAV,JIJEL/FERHAT ABBAS,Algeria,36.794444444444444,5.873611111111112,
DAAY,MECHERIA,Algeria,33.5358333,-0.2422222,
DABB,ANNABA/RABAH BITAT,Algeria,36.82222222222222,7.809444444444444,
DABC,CONSTANTINE/MOHAMED BOUDIAF,Algeria,36.28527777777778,6.6191666666666675,
DABS,TEBESSA/CHEIKH LARBI TEBESSI,Algeria,35.43263611111111,8.1256,
DABT,BATNA/MOSTAPHA BEN BOULAID,Algeria,35.759166666666665,6.3225,
DAFH,HASSI R'MEL/TILREMPT,Algeria,32.9305556,3.3116667,
DAOB,TIARET ABDELHAFID BOUSSOUF BOU CHEKIF,Algeria,35.34138888888889,1.4669444444444446,
DAOF,TINDOUF,Algeria,27.7,-8.166666666666666,
DAOI,CHLEF,Algeria,36.216944444444444,1.3399999999999999,
DAON,TLEMCEN/ZENATA-MESSALI EL HADJ,Algeria,35.015277777777776,-1.4508333333333332,
DAOO,ORAN/AHMED BENBELLA,Algeria,35.62722222222222,-0.6113888888888889,
DAOR,BECHAR/BOUDGHENE BEN ALI LOTFI,Algeria,31.650569444444443,-2.253152777777778,
DAOV,GHRISS,Algeria,35.216944444444444,0.14833333333333332,
DATM,BORDJ MOKHTAR,Algeria,21.375,0.9238888888888889,
DAUA,ADRAR/TOUAT-CHEIKH SIDI MOHAMED BELKEBIR,Algeria,27.839166666666664,-0.18527777777777776,
DAUB,BISKRA/MOHAMED KHIDER,Algeria,34.80166666666666,5.741666666666667,
DAUE,EL GOLEA,Algeria,30.56888888888889,2.8647222222222224,
DAUG,GHARDAIA/NOUMERAT-MOUFDI ZAKARIA,Algeria,32.38166666666667,3.799444444444444,
DAUH,HASSI MESSAOUD/OUED IRARA-KRIM BELKACEM,Algeria,31.67388888888889,6.140555555555556,
DAUI,IN SALAH,Algeria,27.253611111111113,2.5108333333333333,
DAUK,TOUGGOURT/SIDI MAHDI,Algeria,33.059999999999995,6.087222222222222,
DAUL,LAGHOUAT/MOULAY AHMED MEDEGHRI,Algeria,33.7644444,2.9283333,
DAUO,EL OUED/GUEMAR,Algeria,33.51305555555555,6.7825,
DAUT,TIMIMOUN,Algeria,29.241111111111113,0.2836111111111111,
DAUU,OUARGLA/AIN BEIDA,Algeria,31.93138888888889,5.406666666666667,
DAUZ,ZARZAITINE/IN AMENAS,Algeria,28.05138888888889,9.642777777777777,
DBBB,CARDINAL BERNARDIN GANTIN AEROPORT INTERNATIONAL/CADJEHOUN ,Benin,6.356380555555555,2.38335,
DFFD,OUAGADOUGOU/AEROPORT,Burkina Faso,12.353666666666665,-1.512,
DFOO,BOBO DIOULASSO,Burkina Faso,11.167416666666666,-4.321055555555556,
DGAA,ACCRA/KOTOKA INTERNATIONAL,Ghana,5.604413888888889,-0.16754444444444444,
DIAP,ABIDJAN/FELIX HOUPHOUET BOIGNY,Cote d'Ivoire,5.254502777777778,-3.9286555555555553,
DNMM,LAGOS/MURTALA MUHAMMED,Nigeria,6.5786444444444445,3.3225277777777777,
DNPO,PORT HARCOURT,Nigeria,5.015458333333333,6.9495305555555555,
DRRM,MARADI,Niger,13.501888888888889,7.119722222222221,
DRRN,NIAMEY,Niger,13.481666666666667,2.170361111111111,
DRRT,TAHOUA,Niger,14.878111111111112,5.270166666666666,
DRZA,AGADES SUD,Niger,16.962305555555556,7.990388888888889,
DRZR,ZINDER,Niger,13.783972222222221,8.990402777777778,
DTKA,TABARKA-AIN DRAHAM INTERNATIONAL AIRPORT,Tunisia,36.980000000000004,8.876944444444446,
DTMB,MONASTIR/HABIB BOURGUIBA,Tunisia,35.75805555555556,10.754722222222222,
DTNH,ENFIDHA-HAMMAMET INTERNATIONAL AIRPORT,Tunisia,36.075833333333335,10.438611111111111,
DTTA,TUNIS/CARTHAGE,Tunisia,36.85111111111111,10.226944444444445,
DTTB,BIZERTE/SIDI AHMED,Tunisia,37.2455556,9.7913889,
DTTD,REMADA,Tunisia,32.3061111,10.3822222,
DTTF,GAFSA/KSAR,Tunisia,34.41555555555556,8.813611111111111,
DTTG,GABES/MATMATA,Tunisia,33.7325,9.916111111111112,
DTTJ,DJERBA/ZARZIS,Tunisia,33.87555555555556,10.777222222222223,
DTTN,JENDOUBA,Tunisia,36.4888889,8.8002778,
DTTR,EL BORMA,Tunisia,31.702777777777776,9.2575,
DTTX,SFAX/THYNA,Tunisia,34.720555555555556,10.688611111111111,
DTTZ,TOZEUR/NEFTA,Tunisia,33.939722222222215,8.110555555555555,
DXNG,NIAMTOUGOU,Togo,9.777500000000002,1.0955555555555554,
DXSK,SOKODE,Togo,8.9955556,1.1533333,
DXXX,LOME/GNASSINGBE EYADEMA,Togo,6.1658333333333335,1.2541666666666667,
EBAW,ANTWERPEN/DEURNE,Belgium,51.18944444444444,4.460277777777778,Europe/Brussels
EBBE,BEAUVECHAIN (MIL),Belgium,50.75783333333333,4.767,Europe/Brussels
EBBL,KLEINE BROGEL (MIL),Belgium,51.16833333333333,5.469833333333334,Europe/Brussels
EBBR,BRUSSELS/BRUSSELS-NATIONAL,Belgium,50.90138888888889,4.484444444444445,Europe/Brussels
EBCI,CHARLEROI/BRUSSELS SOUTH,Belgium,50.46,4.452777777777778,Europe/Brussels
EBCV,CHIEVRES (MIL),Belgium,50.575833333333335,3.831,Europe/Brussels
EBDT,DIEST/SCHAFFEN (MIL),Belgium,50.9991667,5.0655556,Europe/Brussels
EBFN,KOKSIJDE (MIL),Belgium,51.090333333333334,2.652833333333333,Europe/Brussels
EBFS,FLORENNES (MIL),Belgium,50.24333333333333,4.645833333333333,Europe/Brussels
EBLG,LIEGE/LIEGE,Belgium,50.63638888888889,5.442777777777778,Europe/Brussels
EBOS,OOSTENDE-BRUGGE/OOSTENDE,Belgium,51.19888888888889,2.8622222222222224,Europe/Brussels
EDAC,LEIPZIG-ALTENBURG AIRPORT,Germany,50.98181666666667,12.506361111111111,Europe/Berlin
EDAH,HERINGSDORF,Germany,53.878705555555555,14.152347222222222,Europe/Berlin
EDBC,MAGDEBURG/COCHSTEDT,Germany,51.85592777777778,11.418008333333333,Europe/Berlin
EDDB,BERLIN-SCHOENEFELD,Germany,52.36224722222222,13.500672222222223,Europe/Berlin
EDDC,DRESDEN,Germany,51.134344444444444,13.768,Europe/Berlin
EDDE,ERFURT-WEIMAR,Germany,50.97981111111111,10.958105555555555,Europe/Berlin
EDDF,FRANKFURT/MAIN,Germany,50.03330555555556,8.570455555555556,Europe/Berlin
EDDG,MUENSTER/OSNABRUECK,Germany,52.13464166666667,7.684830555555556,Europe/Berlin
EDDH,HAMBURG,Germany,53.63038888888889,9.988227777777777,Europe/Berlin
EDDK,KOELN/BONN,Germany,50.86591666666667,7.142744444444445,Europe/Berlin
EDDL,DUESSELDORF,Germany,51.280924999999996,6.757311111111111,Europe/Berlin
EDDM,MUENCHEN,Germany,48.35378333333333,11.78608611111111,Europe/Berlin
EDDN,NUERNBERG,Germany,49.4987,11.078008333333333,Europe/Berlin
EDDP,LEIPZIG/HALLE,Germany,51.423991666666666,12.236383333333333,Europe/Berlin
EDDR,SAARBRUECKEN,Germany,49.21455277777778,7.109508333333333,Europe/Berlin
EDDS,STUTTGART,Germany,48.689877777777774,9.221963888888888,Europe/Berlin
EDDT,BERLIN-TEGEL,Germany,52.559686111111105,13.287711111111111,Europe/Berlin
EDDV,HANNOVER,Germany,52.460213888888894,9.683522222222223,Europe/Berlin
EDDW,BREMEN,Germany,53.047399999999996,8.786747222222223,Europe/Berlin
EDFE,FRANKFURT-EGELSBACH,Germany,49.96082222222223,8.641461111111111,Europe/Berlin
EDFH,FRANKFURT-HAHN,Germany,49.94867222222222,7.263891666666667,Europe/Berlin
EDFM,MANNHEIM CITY,Germany,49.47270555555556,8.51426388888889,Europe/Berlin
EDGS,SIEGERLAND,Germany,50.707658333333335,8.082969444444444,Europe/Berlin
EDHK,KIEL-HOLTENAU,Germany,54.379469444444446,10.145147222222223,Europe/Berlin
EDHL,LUEBECK-BLANKENSEE,Germany,53.805366666666664,10.719222222222223,Europe/Berlin
EDJA,MEMMINGEN,Germany,47.988822222222225,10.239483333333332,Europe/Berlin
EDLN,MOENCHENGLADBACH,Germany,51.23027777777778,6.504444444444444,Europe/Berlin
EDLP,PADERBORN/LIPPSTADT,Germany,51.614088888888894,8.616316666666666,Europe/Berlin
EDLV,NIEDERRHEIN,Germany,51.60241388888889,6.142172222222222,Europe/Berlin
EDLW,DORTMUND,Germany,51.51831388888889,7.612241666666666,Europe/Berlin
EDMA,AUGSBURG,Germany,48.42515833333333,10.931763888888888,Europe/Berlin
EDMO,OBERPFAFFENHOFEN,Germany,48.081363888888895,11.283066666666668,Europe/Berlin
EDNY,FRIEDRICHSHAFEN,Germany,47.67131666666666,9.511486111111111,Europe/Berlin
EDOP,SCHWERIN-PARCHIM,Germany,53.42699722222222,11.783436111111111,Europe/Berlin
EDQM,HOF-PLAUEN,Germany,50.28883611111111,11.854919444444445,Europe/Berlin
EDRZ,ZWEIBRUECKEN,Germany,49.209525,7.400647222222222,Europe/Berlin
EDSB,KARLSRUHE/BADEN-BADEN,Germany,48.779352777777774,8.080499999999999,Europe/Berlin
EDTL,LAHR,Germany,48.36925,7.827722222222222,Europe/Berlin
EDVE,BRAUNSCHWEIG-WOLFSBURG,Germany,52.319361111111114,10.55888888888889,Europe/Berlin
EDVK,KASSEL-CALDEN,Germany,51.420791666666666,9.392158333333333,Europe/Berlin
EDXW,SYLT,Germany,54.91163611111111,8.34238611111111,Europe/Berlin
EEKA,KARDLA,Estonia,58.990833333333335,22.830833333333334,Europe/Tallinn
EEKE,KURESSAARE,Estonia,58.230000000000004,22.509444444444444,Europe/Tallinn
EEPU,PARNU,Estonia,58.41888888888889,24.472777777777775,Europe/Tallinn
EETN,LENNART MERI TALLINN,Estonia,59.413333333333334,24.8325,Europe/Tallinn
EETU,TARTU,Estonia,58.3075,26.686944444444446,Europe/Tallinn
EFET,ENONTEKIO,Finland,68.36444444444444,23.427500000000002,Europe/Helsinki
EFHA,HALLI,Finland,61.85638888888889,24.789166666666667,Europe/Helsinki
EFHF,HELSINKI-MALMI,Finland,60.25388888888889,25.04416666666667,Europe/Helsinki
EFHK,HELSINKI-VANTAA,Finland,60.31722222222223,24.96333333333333,Europe/Helsinki
EFIV,IVALO,Finland,68.61083333333333,27.413888888888888,Europe/Helsinki
EFJO,JOENSUU,Finland,62.65888888888889,29.624444444444446,Europe/Helsinki
EFJY,JYVASKYLA,Finland,62.40083333333333,25.672777777777778,Europe/Helsinki
EFKA,KAUHAVA,Finland,63.12416666666667,23.05138888888889,Europe/Helsinki
EFKE,KEMI-TORNIO,Finland,65.77916666666667,24.584722222222222,Europe/Helsinki
EFKK,KOKKOLA-PIETARSAARI,Finland,63.72027777777778,23.139166666666664,Europe/Helsinki
EFKS,KUUSAMO,Finland,65.99027777777778,29.231944444444444,Europe/Helsinki
EFKT,KITTILA,Finland,67.69861111111112,24.848055555555554,Europe/Helsinki
EFKU,KUOPIO,Finland,63.00861111111111,27.794444444444448,Europe/Helsinki
EFLP,LAPPEENRANTA,Finland,61.045833333333334,28.148611111111112,Europe/Helsinki
EFMA,MARIEHAMN,Finland,60.121944444444445,19.89638888888889,Europe/Mariehamn
EFMI,MIKKELI,Finland,61.686388888888885,27.2,Europe/Helsinki
EFOU,OULU,Finland,64.92916666666667,25.355555555555558,Europe/Helsinki
EFPO,PORI,Finland,61.46138888888889,21.797777777777778,Europe/Helsinki
EFRO,ROVANIEMI,Finland,66.56166666666667,25.830833333333334,Europe/Helsinki
EFSA,SAVONLINNA,Finland,61.94277777777778,28.945,Europe/Helsinki
EFSI,SEINAJOKI,Finland,62.69361111111111,22.831944444444446,Europe/Helsinki
EFTP,TAMPERE-PIRKKALA,Finland,61.415277777777774,23.587777777777777,Europe/Helsinki
EFTU,TURKU,Finland,60.514722222222225,22.261666666666667,Europe/Helsinki
EFUT,UTTI,Finland,60.896388888888886,26.938055555555557,Europe/Helsinki
EFVA,VAASA,Finland,63.04527777777778,21.764166666666668,Europe/Helsinki
EFVR,VARKAUS,Finland,62.17111111111111,27.86861111111111,Europe/Helsinki
EGAA,BELFAST/ALDERGROVE,United Kingdom of Great Britain and Northern Ireland,54.6575,-6.215833333333333,Europe/London
EGAC,BELFAST/CITY,United Kingdom of Great Britain and Northern Ireland,54.61805555555556,-5.8725000000000005,Europe/London
EGAE,LONDONDERRY/EGLINTON,United Kingdom of Great Britain and Northern Ireland,55.04277777777778,-7.161944444444445,Europe/London
EGBB,BIRMINGHAM,United Kingdom of Great Britain and Northern Ireland,52.453855555555556,-1.7480277777777777,Europe/London
EGBE,COVENTRY,United Kingdom of Great Britain and Northern Ireland,52.36981111111111,-1.4796805555555557,Europe/London
EGBJ,GLOUCESTERSHIRE,United Kingdom of Great Britain and Northern Ireland,51.89416666666666,-2.167222222222222,Europe/London
EGCC,MANCHESTER,United Kingdom of Great Britain and Northern Ireland,53.35388888888889,-2.275,Europe/London
EGCN,DONCASTER SHEFFIELD,United Kingdom of Great Britain and Northern Ireland,53.47528333333334,-1.0041361111111111,Europe/London
EGDM,BOSCOMBE DOWN,United Kingdom of Great Britain and Northern Ireland,51.153308333333335,-1.751011111111111,Europe/London
EGDR,CULDROSE,United Kingdom of Great Britain and Northern Ireland,50.08539722222223,-5.254072222222222,Europe/London
EGDX,ST ATHAN,United Kingdom of Great Britain and Northern Ireland,51.40475277777777,-3.435752777777778,Europe/London
EGDY,YEOVILTON,United Kingdom of Great Britain and Northern Ireland,51.008269444444444,-2.6454916666666666,Europe/London
EGEC,CAMPBELTOWN,United Kingdom of Great Britain and Northern Ireland,55.4375,-5.688055555555556,Europe/London
EGEO,OBAN,United Kingdom of Great Britain and Northern Ireland,56.46361111111111,-5.4,Europe/London
EGFF,CARDIFF,United Kingdom of Great Britain and Northern Ireland,51.39666666666667,-3.3433333333333333,Europe/London
EGGD,BRISTOL,United Kingdom of Great Britain and Northern Ireland,51.382669444444446,-2.7191,Europe/London
EGGP,LIVERPOOL,United Kingdom of Great Britain and Northern Ireland,53.33361111111111,-2.8497222222222223,Europe/London
EGGW,LONDON LUTON,United Kingdom of Great Britain and Northern Ireland,51.874722222222225,-0.3683333333333333,Europe/London
EGHH,BOURNEMOUTH,United Kingdom of Great Britain and Northern Ireland,50.78,-1.8425000000000002,Europe/London
EGHI,SOUTHAMPTON,United Kingdom of Great Britain and Northern Ireland,50.95027777777778,-1.3566666666666667,Europe/London
EGHQ,NEWQUAY,United Kingdom of Great Britain and Northern Ireland,50.44083333333333,-4.995277777777778,Europe/London
EGJA,ALDERNEY,United Kingdom of Great Britain and Northern Ireland,49.70675833333333,-2.214480555555556,Europe/Guernsey
EGJB,GUERNSEY,United Kingdom of Great Britain and Northern Ireland,49.43493055555555,-2.6028000000000002,Europe/Guernsey
EGJJ,JERSEY,United Kingdom of Great Britain and Northern Ireland,49.207952777777784,-2.195525,Europe/Jersey
EGKA,SHOREHAM,United Kingdom of Great Britain and Northern Ireland,50.83555555555556,-0.2972222222222222,Europe/London
