flight_number,dpt_airport_code,dst_airport_code,plane_type,schedule,dpt_time_utc,dst_time_utc
0077,EGXE,EVLA,C500,M--T-SS,18:47:00,21:55:00
0078,ESTA,EGGW,PAY2,-TW--S-,21:36:00,23:56:00
0079,ESTA,EFIV,PA34,MTW-F-S,20:15:00,02:43:00
0080,ESTA,EHDL,B738,MT-----,19:06:00,19:55:00
0081,ESTA,LFBG,C500,--WTF-S,16:39:00,19:53:00
0082,ESTA,EDVK,B738,----FS-,18:11:00,18:55:00
0083,ESTA,LEAO,B738,M-W-F-S,19:39:00,22:28:00
0084,LDLO,EKKA,A320,--W----,20:08:00,21:53:00
0085,LDLO,EGXU,B733,MT---S-,21:51:00,23:48:00
0086,LDLO,LTFH,PAY2,M-W-FSS,20:38:00,00:58:00
0087,LFLL,LFBO,B738,-T--F-S,16:56:00,17:24:00
0088,LFLL,LEBA,A320,M-W----,19:06:00,20:39:00
0089,LFLL,EGXC,A320,-TW-FS-,21:48:00,22:58:00
0090,LGSR,EGGW,PAY2,MTWT--S,19:03:00,01:19:00
0091,LGSR,LDZD,PA34,MTW-FS-,15:33:00,20:36:00
0092,LGSR,LFMD,PAY2,--WTFS-,17:57:00,22:06:00
0093,LGSR,LIRZ,PAY2,-TWT---,17:14:00,20:23:00
0094,LGSR,ESUT,C500,M---FS-,20:55:00,04:09:00
0095,LGSR,EGPC,B733,M--T-S-,16:37:00,20:40:00
0096,LGSR,EGMD,A320,MTWTF-S,20:12:00,23:28:00
0097,LIBG,EFMA,B738,----FS-,18:02:00,20:44:00
0098,LIBG,ENBR,C500,M--T---,19:47:00,00:53:00
0099,LIBG,LQSA,PA34,MT-TF--,21:51:00,23:25:00
0100,LICG,EBLG,B738,-T----S,16:52:00,18:52:00
0101,LICG,EGKB,B738,---T---,20:44:00,23:02:00
0102,LICG,EKEB,B738,----F--,18:06:00,20:41:00
0103,LICG,LJMB,PA34,MTW-F-S,21:35:00,02:14:00
0104,LICG,LATI,PA34,M-W--S-,17:23:00,20:54:00
0105,LICG,LFBT,B738,-T-T---,16:19:00,17:51:00
0106,LICG,LTCN,A320,M---FSS,19:13:00,22:04:00
0107,LIRI,EKRK,PA34,M--T-SS,19:48:00,02:46:00
0108,LIRI,LPFR,B733,MT--FS-,18:41:00,21:14:00
0109,LIRI,LRIA,PAY2,MTW-FS-,17:28:00,20:25:00
0110,LIRI,EHVK,C500,-T--F-S,21:51:00,00:55:00
0111,LIVC,LGIO,C500,MTWT---,19:37:00,21:44:00
0112,LIVC,ENGM,B738,MT-T-SS,21:53:00,00:05:00
0113,LIVC,LYBT,C500,M------,20:15:00,21:54:00
0114,LIVC,LRCV,B733,MTWT-S-,17:35:00,18:55:00
0115,LIVC,EGCC,B738,M-W-F-S,16:39:00,18:22:00
0116,EDHL,EDMA,A320,MT--FS-,20:08:00,20:55:00
0117,EDHL,LFOB,PAY2,M------,21:49:00,23:38:00
0118,EDHL,EDLP,PAY2,-T--F--,17:34:00,18:14:00
0119,EDFH,LFMI,A320,-T-TFS-,17:24:00,18:21:00
0120,EDFH,LOIH,B738,--W--S-,20:32:00,20:57:00
0121,EDFH,LFRS,PAY2,-T----S,19:47:00,21:30:00
0122,EDFH,EGXC,PAY2,-TW-FSS,18:36:00,20:04:00
0123,EDFH,ENLA,C500,M-W-FS-,21:36:00,23:54:00
0124,LFVP,EDFE,PA34,-T-TF--,01:39:00,21:02:00
0125,LFVP,LFRO,A320,M-W--S-,23:51:00,04:51:00
0126,LFVP,LTAW,A320,--WTFS-,23:13:00,08:19:00
0127,LFVP,LFOV,A320,--WT---,01:00:00,06:16:00
0128,LFYR,LFLL,B738,----FSS,21:07:00,21:31:00
0129,LFYR,EGXD,A320,M--TFS-,21:43:00,22:44:00
0130,LFYR,LKPD,B733,M------,16:20:00,17:42:00
0131,LFYR,LFRL,B733,-TWTFS-,18:56:00,19:32:00
0132,LFYR,LIMT,PA34,MTW-FS-,17:33:00,20:32:00
0133,LHPA,LOAN,A320,--WT---,21:45:00,21:54:00
0134,LHPA,LFLN,A320,---TF-S,19:22:00,20:42:00
0135,LHPA,LGLM,B733,-T-TF-S,18:38:00,19:57:00
0136,LHPA,EHLW,B733,-TWT---,16:29:00,17:49:00
0137,LIRK,ESSB,B738,M--T--S,19:27:00,21:48:00
0138,LIRK,EBDT,C500,--WT-SS,21:51:00,00:17:00
0139,LIRK,LFBI,B733,MT-TF-S,16:15:00,17:39:00
0140,LSMP,ETEB,A320,--W-F-S,21:15:00,21:46:00
0141,LSMP,EKRN,C500,M--T-S-,21:54:00,00:13:00
0142,LSMP,EPSC,A320,MT----S,20:11:00,21:24:00
0143,LSMP,LPMA,C500,M-WT---,18:39:00,00:10:00
0144,LSMP,ENRA,PAY2,-TW-F--,16:34:00,21:47:00
0145,LSMP,EGNS,A320,-TW----,17:43:00,19:12:00
0146,LYNI,EDMO,C500,-----S-,19:22:00,21:29:00
0147,LYNI,EGAC,C500,-----S-,21:50:00,02:57:00
0148,LYNI,LYKV,PA34,MT-----,20:34:00,21:03:00
0149,LYNI,LTBQ,PAY2,--W--S-,17:45:00,19:30:00
0150,LYNI,LFLY,PA34,M--TF--,21:18:00,02:59:00
0151,EPZG,EGNX,B738,M--T-S-,20:56:00,22:22:00
0152,EPZG,EHFS,PA34,--W-F-S,21:59:00,01:30:00
0153,EPZG,ENBL,B738,MT-TFS-,17:31:00,19:00:00
0154,EPZG,ESNZ,B733,-T--FS-,19:55:00,21:28:00
0155,EPZG,LCLK,B733,M-WTFSS,16:11:00,19:11:00
0156,EPZG,LERS,PAY2,M----SS,18:32:00,22:25:00
0157,LKNA,LIPQ,C500,--WT-S-,17:09:00,18:04:00
0158,LKNA,ETNH,C500,M---F--,20:07:00,21:42:00
0159,LKNA,LFPG,C500,----FS-,21:51:00,00:00:00
0160,LKNA,LIMA,B733,-TWT---,21:08:00,22:08:00
0161,LKNA,LSZC,B738,M-WT-SS,18:50:00,19:37:00
0162,LTFJ,EGBB,B738,-TW----,15:03:00,18:20:00
0163,LTFJ,EGNM,A320,-TW-FSS,18:30:00,22:00:00
0164,LTFJ,EGUL,PAY2,-TW----,16:12:00,22:08:00
0165,LTFJ,EINN,PAY2,--WTFSS,17:07:00,00:32:00
0166,LTFJ,EBCI,B738,--W-FS-,19:50:00,22:32:00
0167,LYUZ,EDFH,B738,MTW-F--,21:43:00,23:09:00
0168,LYUZ,LIVE,B738,---T-S-,21:08:00,22:07:00
0169,LYUZ,EGQM,PAY2,--WT-S-,17:16:00,21:56:00
0170,LYUZ,EDDR,A320,-T-----,19:53:00,21:21:00
0171,LYUZ,LFBA,B733,-TWT---,18:10:00,20:06:00
0172,EDMA,LIRX,C500,---TF-S,16:02:00,17:25:00
0173,EDMA,LIEE,C500,-T--FSS,21:31:00,23:45:00
0174,EDMA,LICR,PAY2,MT-T-SS,16:59:00,19:50:00
0175,EDMA,EHKD,PA34,MTW-F-S,20:04:00,22:50:00
0176,EGAE,LGKF,PA34,-T----S,22:47:00,10:26:00
0177,EGAE,LFRK,PA34,MT-TF-S,17:20:00,20:39:00
0178,EGAE,LGKC,B733,---TF--,21:22:00,01:16:00
0179,EGAE,LFJL,B738,----F--,20:01:00,21:25:00
0180,EGAE,LTAC,PA34,M-W----,22:03:00,12:06:00
0181,EGAE,ENRA,PA34,MT--F--,18:40:00,01:45:00
0182,EGYM,LFYR,PAY2,M------,17:46:00,19:11:00
0183,EGYM,LTBA,A320,M------,22:48:00,02:01:00
0184,EGYM,EKSB,B738,M-WT---,21:48:00,22:37:00
0185,EGYM,LPPS,PAY2,--WTFS-,20:10:00,02:11:00
0186,ENNA,ETEB,A320,M-WTFS-,16:08:00,19:16:00
0187,ENNA,EFKS,A320,MTWTF--,20:54:00,21:32:00
0188,ENNA,LEGA,C500,MTWTF-S,17:12:00,01:56:00
0189,ENNA,LIRA,PAY2,-----S-,19:04:00,02:39:00
0190,ENNA,EPLB,B733,-TWTFSS,21:59:00,00:38:00
0191,ENNA,EFHA,A320,MTW---S,17:57:00,19:08:00
0192,ENNA,EDSB,C500,M-WT--S,19:51:00,01:20:00
0193,EVRA,LFLL,B738,M----SS,20:58:00,23:11:00
0194,EVRA,LRSM,B733,M-WTFSS,20:23:00,21:41:00
0195,EVRA,LFOE,A320,M---F-S,18:25:00,20:41:00
0196,EVRA,EIKN,C500,--WTFSS,16:32:00,21:02:00
0197,LEBZ,LGNX,C500,M----SS,17:26:00,23:32:00
0198,LEBZ,LGIR,PAY2,MT---SS,21:31:00,04:14:00
0199,LEBZ,ENQC,PA34,M-----S,17:57:00,04:33:00
0200,LEBZ,LGHI,PA34,MTWT-SS,19:25:00,07:17:00
0201,LFBL,LFRD,C500,MTWTFSS,21:55:00,22:46:00
0202,LFBL,ESTL,C500,--W----,18:32:00,21:36:00
0203,LFBL,LIVP,PAY2,--W-FSS,19:06:00,20:54:00
0204,LFJR,ESUD,PA34,M--T--S,16:11:00,01:24:00
0205,LFJR,LIMU,PA34,M---F--,17:38:00,20:51:00
0206,LFJR,EETN,PAY2,M-WT---,21:45:00,02:42:00
0207,LFJR,LFBE,B738,MT--F--,18:42:00,19:05:00
0208,LFJR,EDAC,B738,-T-TF--,19:38:00,20:53:00
0209,LFJR,EDAH,B733,MT-TF--,20:26:00,22:00:00
0210,LFMY,EGLC,A320,-T--F-S,20:20:00,21:34:00
0211,LFMY,LOXZ,A320,-TW-F-S,17:14:00,18:20:00
0212,LFMY,LPPR,PA34,-TW-F--,16:33:00,21:23:00
0213,LFMY,LQBK,B738,-TW--S-,19:21:00,20:34:00
0214,LFMY,EGLL,PAY2,M-W---S,18:25:00,20:42:00
0215,LFMY,LPPD,PA34,MTW-FS-,21:43:00,08:48:00
0216,LFRD,EDFE,C500,-TW-FS-,21:37:00,23:20:00
0217,LFRD,LIRX,C500,M-WT-S-,18:45:00,21:17:00
0218,LFRD,LTAF,B733,-TWTF-S,18:09:00,22:16:00
0219,LFRD,EPLL,PAY2,-T---S-,20:51:00,00:32:00
0220,LFRD,LTBF,B733,M---FS-,19:19:00,22:34:00
0221,LFRD,LTBR,PAY2,---T-SS,17:17:00,23:32:00
0222,LFSL,LIBG,A320,--WTFSS,16:46:00,18:34:00
0223,LFSL,LHPR,PAY2,MTW-F--,21:54:00,00:56:00
0224,LFSL,LELL,A320,MT---S-,18:46:00,19:17:00
0225,LFSL,ENSS,B733,MT--F-S,20:18:00,00:23:00
0226,LGPZ,ENNA,C500,M-WT-SS,17:42:00,01:13:00
0227,LGPZ,EDVE,A320,--W-FSS,20:44:00,22:54:00
0228,LGPZ,LKPR,PA34,--WTF-S,18:59:00,00:34:00
0229,LGPZ,LFBC,A320,-TWTFSS,20:03:00,22:31:00
0230,LGPZ,ENRA,PA34,MTW-F--,15:24:00,04:12:00
0231,LGPZ,LPHR,A320,MTWT--S,16:24:00,21:52:00
0232,LIME,LHPA,A320,MTW-FSS,16:48:00,17:37:00
0233,LIME,LFJR,A320,MTWTF--,20:05:00,21:07:00
0234,LIME,LFBO,PAY2,-TW----,21:54:00,23:33:00
0235,LIME,LFRJ,PA34,M------,18:02:00,22:36:00
0236,LIME,EPSC,PAY2,-TW-F-S,20:49:00,23:04:00
0237,LIME,LGAD,B733,M--TF-S,17:32:00,19:10:00
0238,LIME,EETU,A320,-TW-F-S,19:10:00,21:31:00
0239,LEGE,EFHF,A320,--W---S,17:36:00,20:53:00
0240,LEGE,LFBP,B733,MTW-F-S,20:38:00,21:02:00
0241,LEGE,EIKY,B733,MTW--SS,18:47:00,20:38:00
0242,LEGE,LSZC,PA34,MTWT-SS,21:39:00,00:39:00
0243,LEGE,EDDG,B733,MT-T-SS,19:35:00,21:06:00
0244,LEGE,ETNN,B733,M-W-FS-,18:15:00,19:34:00
0245,LEGE,LFBT,B738,MTWT-SS,16:31:00,16:51:00
0246,LFMH,LEMD,C500,-T----S,16:40:00,18:31:00
0247,LFMH,LTBO,B738,--W--SS,17:43:00,20:26:00
0248,LFMH,LFPC,C500,M--TFSS,20:41:00,21:38:00
0249,LFMH,LTCU,A320,M-W-FS-,21:55:00,01:52:00
0250,LFRB,LBGO,PAY2,----FSS,17:17:00,22:55:00
0251,LFRB,LHKE,PAY2,MT-TFS-,21:40:00,01:56:00
0252,LFRB,LERT,PA34,MT---S-,20:56:00,02:26:00
0253,LLSD,EGNM,A320,-T-TFS-,19:52:00,00:43:00
0254,LLSD,LERT,C500,MT-T-S-,16:12:00,00:23:00
0255,LLSD,LTAT,B733,---TFSS,20:38:00,21:36:00
0256,LLSD,EDDE,PA34,MTWTF-S,17:00:00,04:54:00
0257,LLSD,LEAO,B738,MT--F--,18:25:00,22:47:00
0258,LXGB,EGPF,PA34,M----S-,21:24:00,06:31:00
0259,LXGB,EDDT,B738,MTWTF--,19:56:00,22:49:00
0260,LXGB,EPLB,B738,MT--F--,21:58:00,01:24:00
0261,LXGB,ETHE,C500,-TWT-SS,17:23:00,21:50:00
0262,EDVE,LTAR,A320,--W---S,21:35:00,00:44:00
0263,EDVE,LOWL,C500,--W-F-S,16:34:00,17:42:00
0264,EDVE,LEAB,B738,-T-TF-S,17:34:00,19:45:00
0265,EDVE,LFPN,PAY2,-TW-FS-,19:33:00,21:15:00
0266,EGBB,EKYT,C500,M--TFS-,18:18:00,20:16:00
0267,EGBB,LTCP,PA34,MT--F-S,17:13:00,07:46:00
0268,EGBB,LELC,C500,----F--,22:38:00,02:10:00
0269,EGBB,EFTP,PA34,MTW---S,19:17:00,02:51:00
0270,EGBB,LBWN,B738,-TW-F-S,20:30:00,23:28:00
0271,EGBB,EGEO,PA34,MTWTF-S,21:30:00,23:36:00
0272,EGEC,LGKF,A320,-----SS,19:44:00,23:16:00
0273,EGEC,LCRA,A320,M------,20:56:00,01:46:00
0274,EGEC,ESGR,B738,-TW----,22:43:00,00:15:00
0275,EGEC,LIPR,PAY2,---T-SS,18:52:00,23:09:00
0276,EGEC,ENRA,PAY2,M--TF--,17:55:00,21:43:00
0277,EGHQ,EKGC,A320,MT-TFSS,21:26:00,22:33:00
0278,EGHQ,ETHB,PAY2,-TW--SS,20:41:00,23:02:00
0279,EGHQ,LYTV,B738,-T--F-S,22:42:00,01:11:00
0280,EGHQ,LIRV,B738,M--TF-S,18:41:00,20:38:00
0281,EGLC,EKKA,PAY2,-T-T-SS,19:04:00,20:57:00
0282,EGLC,EKEB,PAY2,MTW----,20:21:00,22:03:00
0283,EGLC,EDQM,PA34,--W--SS,22:48:00,02:18:00
0284,EGLC,LIMU,PA34,MT-TFS-,21:52:00,02:11:00
0285,EGLC,LEMG,PAY2,MTWTF-S,17:31:00,21:29:00
0286,EGOV,LIRK,C500,MT-TFSS,22:37:00,02:27:00
0287,EGOV,EIDL,PAY2,MT-T-SS,20:46:00,21:31:00
0288,EGOV,LPPR,PAY2,M---F--,20:10:00,23:24:00
0289,EGOV,LFPB,C500,--W-F-S,18:27:00,19:56:00
0290,EGOV,LTAI,PA34,--W--SS,19:33:00,09:09:00
0291,EGVN,LRSB,A320,-T-T--S,19:05:00,21:39:00
0292,EGVN,LFRH,C500,MTWT-SS,22:57:00,23:58:00
0293,EGVN,EFTU,PAY2,-T----S,19:45:00,23:53:00
0294,EGVN,EDAC,PAY2,---T-S-,21:14:00,23:33:00
0295,ETEB,LESO,PA34,-T--F--,20:23:00,01:13:00
0296,ETEB,LZPP,C500,MTW--SS,21:44:00,22:53:00
0297,ETEB,EYSA,PAY2,MTW-FS-,18:59:00,21:39:00
0298,ETEB,EKHD,B738,----FSS,16:49:00,17:55:00
0299,ETEB,ENSG,A320,M-WTFS-,18:15:00,19:59:00
0300,EVVA,EGPH,PA34,M--TFSS,19:23:00,01:44:00
0301,EVVA,ETSA,B738,-T-TF-S,18:43:00,20:16:00
0302,EVVA,LELC,PA34,MT--F--,20:50:00,08:10:00
0303,EVVA,LTCG,B733,M---FSS,20:15:00,23:04:00
0304,EVVA,ESPA,PAY2,M----S-,16:49:00,18:58:00
0305,LDOS,EDFE,PAY2,--WT-S-,16:10:00,18:19:00
0306,LDOS,LGKL,PA34,----FS-,19:16:00,23:18:00
0307,LDOS,LFMU,B738,--W-FS-,18:43:00,20:16:00
0308,LDOS,EGVA,PA34,-TWT--S,16:48:00,23:43:00
0309,LDOS,EGXC,PA34,--WTF--,19:58:00,02:41:00
0310,LDOS,LFRL,A320,M---FSS,21:57:00,00:16:00
0311,LDOS,LTAP,PA34,MTWT-SS,17:30:00,23:32:00
0312,LTBJ,EVVA,B738,M-W-F-S,19:33:00,22:13:00
0313,LTBJ,ESNG,A320,-T-TFS-,18:29:00,22:39:00
0314,LTBJ,LGKR,A320,MTW--S-,14:14:00,15:04:00
0315,LTBJ,LIPQ,B733,-T-TFSS,17:47:00,19:33:00
0316,LTBJ,LIPR,PAY2,M-WTFS-,17:06:00,20:20:00
0317,LTBJ,ETSI,A320,M----S-,15:32:00,17:44:00
0318,LTFC,LRSM,B738,MT--F--,15:18:00,16:51:00
0319,LTFC,EGJA,B733,-T-----,18:34:00,22:13:00
0320,LTFC,LJPZ,C500,MT-T--S,19:40:00,23:11:00
0321,LTFC,LKPD,PA34,M------,15:53:00,23:18:00
0322,LTFC,ENBN,C500,--W--S-,17:56:00,01:03:00
0323,LTFC,LTBY,B738,-TW-FSS,14:10:00,14:27:00
0324,LTFC,LSME,PAY2,M-W--SS,17:09:00,22:02:00
0325,EGGW,ENRY,B733,-TW-FS-,18:24:00,19:47:00
0326,EGGW,EETU,PAY2,----FSS,20:19:00,00:41:00
0327,EGGW,LPFR,A320,---T--S,22:48:00,01:04:00
0328,EGGW,ESSL,B738,-TWT---,17:37:00,19:10:00
0329,EGNM,LESA,PA34,M--T-S-,21:35:00,03:40:00
0330,EGNM,LOAN,PAY2,--WTFS-,17:54:00,21:15:00
0331,EGNM,LFMT,C500,-T-----,18:56:00,21:34:00
0332,EGNM,LIMP,A320,M--T-SS,20:20:00,22:03:00
0333,EGNM,EEPU,B733,MTWTF-S,22:53:00,01:01:00
0334,EGOW,LSMD,PA34,MTW-FSS,22:07:00,02:36:00
0335,EGOW,EGYD,B738,M--T--S,21:06:00,21:20:00
0336,EGOW,EDDF,C500,----FS-,22:57:00,00:53:00
0337,EGOW,LFAQ,B738,MT-----,19:06:00,19:48:00
0338,EGOW,LSGC,PAY2,MT-TFS-,20:12:00,22:34:00
0339,EGPB,EBAW,A320,-TW---S,18:20:00,19:40:00
0340,EGPB,LTCP,B738,MT--FS-,17:28:00,22:03:00
0341,EGPB,ENLK,B738,MT-T---,20:56:00,22:23:00
0342,EGPB,ESSP,C500,--W-F--,22:44:00,00:55:00
0343,EGPB,LEAL,PA34,-T-TFSS,22:03:00,08:02:00
0344,EGPB,EINN,PA34,-T--FSS,19:50:00,23:42:00
0345,ESNN,EDFM,PA34,--WT-S-,18:17:00,00:45:00
0346,ESNN,LIRI,C500,M-W-F-S,21:53:00,03:10:00
0347,ESNN,ESGT,PAY2,M-W---S,17:29:00,18:46:00
0348,ESNN,EKTE,PA34,MT--F--,19:10:00,23:31:00
0349,ESNN,LIBP,B733,MT-T-SS,21:11:00,00:01:00
0350,ESNN,LIMJ,C500,MT-----,19:45:00,00:17:00
0351,ESNN,LRIA,PA34,-T-TFS-,16:14:00,23:49:00
0352,EYVI,LTCP,B738,---TF--,20:51:00,23:28:00
0353,EYVI,LSZG,B738,MTWT-S-,18:52:00,20:43:00
0354,EYVI,ENAN,A320,MTW-FS-,17:41:00,19:52:00
0355,LEGR,EDDS,PAY2,-TW-FSS,16:08:00,20:02:00
0356,LEGR,LDSB,C500,--W--SS,21:48:00,01:50:00
0357,LEGR,LGKZ,PA34,-TW--SS,19:35:00,04:55:00
0358,LEGR,EFLP,B733,MTW--SS,18:32:00,22:53:00
0359,LEGR,EHRD,C500,----FSS,20:37:00,00:26:00
0360,LEGR,LKCV,PA34,MT-TFSS,17:12:00,01:53:00
0361,LGRP,EDDK,B738,MTWTFSS,18:37:00,21:28:00
0362,LGRP,LICR,B738,MTW-FSS,20:49:00,22:12:00
0363,LGRP,ENAL,B733,MTWTFSS,16:41:00,20:49:00
0364,LSMD,ESNG,C500,-TW-FS-,21:04:00,02:03:00
0365,LSMD,LFTW,PA34,M---FSS,20:07:00,22:18:00
0366,LSMD,LKLN,A320,M--T-SS,17:38:00,18:11:00
0367,LSMD,EFTP,A320,----FS-,16:49:00,19:10:00
0368,LSMD,LFMN,A320,-T----S,18:57:00,19:31:00
0369,LSMD,LEVX,PA34,M--TF--,21:59:00,04:08:00
0370,LTAR,LGKZ,A320,-T-TF-S,19:35:00,21:15:00
0371,LTAR,LFKC,A320,---TFS-,14:53:00,17:56:00
0372,LTAR,EINN,PA34,MTWTFSS,17:24:00,08:56:00
0373,LFRG,LOIH,B733,-T---SS,21:36:00,22:32:00
0374,LFRG,EFTU,PA34,M-WTFSS,20:48:00,04:34:00
0375,LFRG,LEVD,A320,MT-----,18:05:00,19:18:00
0376,LGIO,LFRJ,B738,MTWT--S,17:23:00,20:06:00
0377,LGIO,EHDL,A320,M--T-S-,18:37:00,20:56:00
0378,LGIO,LFSO,B733,--W-FSS,20:58:00,22:55:00
0379,LHSM,LEZL,B733,M--TFSS,20:42:00,23:25:00
0380,LHSM,EGPH,A320,-T-----,16:27:00,18:43:00
0381,LHSM,ENSF,C500,-T-T-SS,17:05:00,21:11:00
0382,LHSM,LFRM,A320,M--TF-S,21:47:00,23:27:00
0383,LHSM,EDBC,PAY2,MTWT-S-,20:07:00,21:48:00
0384,LHSM,LPHR,PAY2,-TWTF-S,19:20:00,04:18:00
0385,LHSM,LEAO,B733,---T---,18:32:00,20:56:00
0386,LIPF,EGNM,PAY2,M--T-S-,20:17:00,23:33:00
0387,LIPF,LRBM,B738,-TWTF--,21:32:00,22:44:00
0388,LIPF,EDLW,B738,MTW-F-S,19:21:00,20:21:00
0389,LIPF,LIBR,C500,M-WT-SS,16:15:00,17:45:00
0390,LIPF,EKSB,B733,--W----,18:11:00,19:37:00
0391,LIPF,LHKE,C500,M--T-S-,17:28:00,18:56:00
0392,LIQN,LLSD,PAY2,M----S-,21:57:00,03:14:00
0393,LIQN,EDVE,PA34,-TW-FS-,16:59:00,21:37:00
0394,LIQN,EHEH,PA34,M-W--S-,19:06:00,23:54:00
0395,LIQN,EIWF,A320,M--TF-S,18:28:00,20:51:00
